url,title,price,area_m2,floor,rooms,location,scrape_date,Típus,Állapot,Fűtés,Építés éve,Energetikai besorolás,Unnamed: 13,Napelem,Szintek száma,Erkély,Átlagos rezsiköltség,Tervezett átadás,Terasz,Unnamed: 20,Unnamed: 16,Unnamed: 22,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet-ujlipotvaros/8666812?page=1&pos=1&cr=601,,,,,,,2025-08-14,,,,,,,,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-csusztatott-zsalus-lakas-budapest-x-kerulet-ohegy/8555291?page=1&pos=2&cr=600,"Budapest X. kerület eladó csúsztatott zsalus lakás 2 szobás: 69,9 millió Ft",69.0,57.0,4. emelet,2.0,,2025-08-14,Csúsztatott zsalus lakás,Jó állapotú,Gázkazán,1970.0,D,,,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-x-kerulet/8571798?page=1&pos=3&cr=600,"Budapest X. kerület eladó téglalakás 1 szobás: 42,5 millió Ft",42.0,26.0,5. emelet,1.0,Budapest X. kerület,2025-08-14,Téglalakás,Felújított,Távfűtés,1955.0,D,,,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-tarsashazi-lakas-budapest-vi-kerulet-nagykoruton-beluli-terulet/7899058?page=1&pos=4&cr=600,"Budapest VI. kerület eladó társasházi lakás 1+1 fél szobás: 72,72 millió Ft",72.0,45.0,2. emelet,1.0,,2025-08-14,,,,,G,,Nincs,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet/8639628?page=1&pos=5&cr=600,"Budapest VIII. kerület eladó téglalakás 3 szobás: 73,9 millió Ft",73.0,66.0,1. emelet,3.0,Budapest VIII. kerület,2025-08-14,Téglalakás,Átlagos,Gáz (konvektor),1930.0,F,,,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet-vizafogo/8608201?page=1&pos=6&cr=600,Budapest XIII. kerület eladó téglalakás 2 szobás: 159 millió Ft,159.0,66.0,5. emelet,2.0,"Budapest XIII. kerület, Vizafogó",2025-08-14,Téglalakás,Újszerű,Mennyezeti hűtés-fűtés,2024.0,A+,,,8.0,12 m²,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet-corvin-negyed/8531175?page=1&pos=7&cr=600,"Budapest VIII. kerület eladó téglalakás 3 szobás: 162,4 millió Ft",162.0,726.0,10. emelet,3.0,"Budapest VIII. kerület, Corvin negyed",2025-08-14,Téglalakás,Jó állapotú,Gázkazán,2022.0,,,,10.0,,,,,,,,
https://www.zenga.hu/ingatlan/elado-panellakas-budapest-xix-kerulet-felso-kispest/8661974?page=1&pos=8&cr=595,"Budapest XIX. kerület eladó panellakás 2+2 fél szobás: 79,9 millió Ft",79.0,67.0,2. emelet,2.0,"Budapest XIX. kerület, Felső Kispest",2025-08-14,Panellakás,Újszerű,Távfűtés egyedi méréssel,1984.0,,,Nincs,5.0,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-vii-kerulet-ligetvaros/8655552?page=1&pos=9&cr=575,Budapest VII. kerület eladó téglalakás 3+1 fél szobás: 109 millió Ft,109.0,101.0,3. emelet,3.0,"Budapest VII. kerület, Ligetváros, István utca 41-43.",2025-08-14,Téglalakás,Felújított,Gázkazán,,,,,5.0,,38 000 Ft/hó,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiv-kerulet-alsorakos/8654229?page=1&pos=10&cr=550,Budapest XIV. kerület eladó téglalakás 2 szobás: 94 millió Ft,94.0,48.0,1. emelet,2.0,"Budapest XIV. kerület, Alsórákos",2025-08-14,Téglalakás,Új építésű,Hőszivattyú,2025.0,A+,,,5.0,22 m²,,,,,,,
